stat_id,date,utm_x,utm_y,lon,lat,area,month,year,day,min,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,max
19.96.0,2023-11-14,136291,6563180,8.65362,59.05231,0.584,11,2023,14,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026,0.8026
19.96.0,2023-11-15,136291,6563180,8.65362,59.05231,0.584,11,2023,15,0.6396,0.7887500000000001,0.8991,0.9785499999999999,1.0082,1.03125,1.0564,1.1005,1.1283,1.1302500000000002,1.1466,1.16825,1.1902,1.24695,1.2975,1.5398,1.6422,1.7034500000000001,1.8738,2.2813,2.8596
19.96.0,2023-11-16,136291,6563180,8.65362,59.05231,0.584,11,2023,16,0.5097,0.5285,0.5917,0.644,0.689,0.7283999999999999,0.7643,0.79835,0.8454,0.9239999999999999,0.9434,0.9474,0.9633,1.0162,1.0437,1.1586500000000002,1.237,1.3009,1.3347,1.73095,2.3147
19.96.0,2023-11-17,136291,6563180,8.65362,59.05231,0.584,11,2023,17,0.4062,0.4062,0.4062,0.4238,0.4534,0.47935,0.5029,0.5254,0.5463,0.6277999999999999,0.7511,0.76315,0.7797,0.81455,0.8206,0.8734999999999999,0.9095,0.9378,0.982,1.36365,1.8734
19.96.0,2023-11-18,136291,6563180,8.65362,59.05231,0.584,11,2023,18,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.331,0.34575,0.3595,0.40680000000000005,0.4551,0.5175500000000001,0.6079,0.62885,0.6641,0.7070000000000001,0.7361,0.75905,0.7892,1.02,1.46
19.96.0,2023-11-19,136291,6563180,8.65362,59.05231,0.584,11,2023,19,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2843,0.30974999999999997,0.3233,0.3699,0.4025,0.43945,0.4805,0.49739999999999995,0.5576,0.5798,0.6128,0.7488,1.747
19.96.0,2023-11-20,136291,6563180,8.65362,59.05231,0.584,11,2023,20,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2062,0.2388,0.272,0.28345,0.3803,0.4017,0.4027,0.44889999999999997,0.4611,0.48955000000000004,1.1169,1.4564,1.6501
19.96.0,2023-11-21,136291,6563180,8.65362,59.05231,0.584,11,2023,21,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1743,0.2057,0.22260000000000002,0.265,0.31135,0.3206,0.35325,0.357,0.39315,0.904,1.2044000000000001,1.3797
19.96.0,2023-11-22,136291,6563180,8.65362,59.05231,0.584,11,2023,22,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.13069999999999998,0.1639,0.17354999999999998,0.1821,0.23704999999999998,0.2547,0.26839999999999997,0.289,0.31575,0.7308,0.9438500000000001,1.1537
19.96.0,2023-11-23,136291,6563180,8.65362,59.05231,0.584,11,2023,23,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.10955000000000001,0.1306,0.14135,0.1706,0.1977,0.2036,0.22905,0.2515,0.428,0.7062,0.8499,1.1681
19.96.0,2023-11-24,136291,6563180,8.65362,59.05231,0.584,11,2023,24,0.0829,0.0829,0.0829,0.0829,0.0829,0.0829,0.0829,0.0829,0.1041,0.11265,0.136,0.1553,0.1618,0.17045,0.2004,0.3006,0.6796,1.1926,2.2313,3.18785,4.779
19.96.0,2023-11-25,136291,6563180,8.65362,59.05231,0.584,11,2023,25,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.0829,0.0898,0.1035,0.1153,0.1289,0.1321,0.1424,0.1851,0.2233,0.6475500000000001,1.8657,2.55335,3.4655,3.9696499999999997,6.888
