date,catchname,st_0,st_1,st_2,st_3,st_4,st_5,st_6,st_7,st_8,st_9,st_10,st_11,st_12,st_13,st_14,st_15,st_16,st_17,st_18,st_19,st_20,st_21,st_22,st_23,st_24,st_25,st_26,st_27,st_28,st_29,st_30,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,prec_13,prec_14,prec_15,prec_16,prec_17,prec_18,prec_19,prec_20,prec_21,prec_22,prec_23,prec_24,prec_25,prec_26,prec_27,prec_28,prec_29,prec_30
2023-11-14,2.61.0,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,-7.614400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-15,2.61.0,-12.1138561692825,-13.41596387689817,-12.478087157090147,-13.553765156521983,-12.656165394224736,-13.193324685891824,-12.065333758483558,-12.857980541013884,-14.287950283636302,-12.368283761632895,-12.163009425866115,-11.921424480961015,-13.09913475035324,-12.422448380293956,-13.943051046922253,-13.297753173764253,-12.59467387427264,-12.263664494118801,-11.748280364744963,-12.932859711596464,-13.721769729924354,-11.817204569337472,-12.017303800223463,-12.535412727295682,-12.212906872292262,-11.871708651457498,-13.012852952115619,-12.720241488432404,-12.787334342166064,-12.315409405698048,-11.969519852679165,1.4944402154727483,0.0,0.12400355917226119,0.0,0.0,0.0,0.874311165535188,0.0,0.0,0.0,0.20242722167780938,0.0,0.0,0.3280720132817175,0.0,0.0,0.5319883821165472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8561044946514245
2023-11-16,2.61.0,-15.529983898600529,-17.459590830008324,-12.943028952328621,-15.005841384754621,-16.870238446301244,-14.46831133867083,-12.574105671424771,-19.92145639685387,-20.64151081657858,-13.600376967539113,-11.697141791068242,-13.282655599961341,-14.189729351066918,-14.739651632361284,-21.73640888706513,-16.320316164897882,-13.901432745499125,-11.138511402141255,-9.32355891371938,-17.777312197709556,-17.15853505194866,-15.2687220572386,-10.418456983053112,-15.791245739968806,-16.05412641247199,-12.164803793307394,-18.4858621265891,-18.116938845495017,-18.895164004947162,-19.36282600749947,-16.591656458635082,1.3953776515226293,0.1174643862908635,0.0,0.30883074058440557,0.0,0.0,0.1911344709873939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.659793674519318,0.4993590612105008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184734962363439
2023-11-17,2.61.0,-19.671101492414063,-18.72734037753966,-16.162755426519638,-13.988906216295536,-17.27251807685988,-13.594076409678545,-17.497252282181925,-22.069859914351678,-16.830003854350547,-17.96153141302425,-15.933672808847312,-14.334464719241621,-14.645933059511407,-15.698476295678192,-21.14547779436576,-16.609430102849508,-15.200907781534802,-12.514529914354961,-11.590147794378353,-20.53756236460316,-17.726334899854624,-18.204929620400076,-13.12244534411242,-17.050577605851633,-19.014074649194715,-15.455078088303008,-14.932667331165227,-16.387489631841422,-20.065931299033583,-19.325542989466033,-18.459099927169085,0.9837782977624397,0.0,0.0,0.6022354026932267,0.1432825789551739,0.0,1.6717875563349893,0.0,0.0,0.0,0.0,0.0,0.0,3.1762528055949706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37378271219001047,0.0,0.0,0.0,0.0,0.0,0.0,0.23220960462527448
2023-11-18,2.61.0,-18.264049019575374,-17.672633597737477,-16.1049907754357,-14.240253757177006,-16.944290679244602,-15.308342241972923,-15.10605024097311,-20.423264793976838,-15.508119494034684,-16.30728277644475,-13.149283998125046,-13.740699419840618,-13.460334649793534,-14.4690423382268,-19.59119248654745,-16.513488952578093,-12.793882329239777,-14.68813453355067,-11.822140531543896,-19.04398415850596,-15.706666508700684,-17.173079260322687,-10.990068224441753,-16.72519848389813,-18.61945068854954,-14.899844064853038,-12.369348859404683,-13.998800092506656,-17.414532925028084,-17.952998367838564,-15.905213523368484,4.318861222574992,0.0,0.0,0.0,0.818544829039652,0.0,0.0,0.315517948423358,0.0,0.1946546686000989,0.0,0.0,0.0,0.0,0.0,0.0,2.2728783123991243,0.0,0.0,0.0,0.5079620438752248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11864496474730583,0.0,1.3373160648176396
2023-11-19,2.61.0,-17.12164244594263,-14.219508038035649,-18.153014585351514,-11.860495501487748,-14.658575274951898,-10.252134417168689,-11.03902376571428,-13.444145716939218,-8.184169518067392,-12.450666627059041,-7.7714501451857005,-10.513471963220793,-8.541457560864403,-10.775166238476116,-13.8172326059455,-15.696306713619814,-7.258764003879122,-9.722175341563949,-8.864187540792187,-19.760558566832206,-12.764641031266994,-9.164043483529536,-11.306744875324718,-13.094690393192707,-15.145329670119605,-9.989147101591708,-6.51295174702739,-9.448365986829778,-12.150049518343128,-16.338588014390076,-11.579999438040742,0.0,0.0,0.0,0.0,0.0,0.1443622929431859,1.1103502318610081,5.200029447733631,3.015566896508005,0.0,0.0,0.0,0.0,0.0,0.4108260529901057,0.0,0.0,0.0,10.026869795337477,0.0,0.0,0.24564650637644564,0.0,0.0,0.0,0.0,0.0,1.8180960125293961,0.0,0.0,0.6780598911204125
2023-11-20,2.61.0,-12.425740380905332,-11.462846117617826,-11.765312451284107,-7.888016772192159,-10.089150559080013,-3.591160277839977,-9.300066299626598,-10.893311492356784,-7.568806764896205,-8.480130485209266,-5.975864249649842,-6.856937023301961,-8.76001773040118,-10.620699870886474,-14.238712752616971,-13.677464976860751,-5.41461647516474,-12.08452245894723,-9.826664611223059,-16.062168955263402,-13.207611807904208,-4.691188340596949,-10.353262922895526,-11.173198737733829,-12.796392201561485,-9.56417866338499,-8.190483105562071,-6.445717417675047,-9.032629351732458,-14.96214088907793,-7.227588843392354,0.9273487326041445,0.0,4.533679540043843,0.0,0.0,0.40158078872360253,10.864617517446199,0.10041092936705387,19.161085922053736,3.043706870794654,0.0,1.3850387634655297,0.0,0.6144335886541252,0.0,0.0,0.0,0.0,6.873274094568763,0.0,0.0,0.25816123028149746,0.0,0.0,0.0,0.0,0.0,0.0,0.1627916743351989,0.0,2.05490252149276
2023-11-21,2.61.0,-11.757168685819046,-6.552275467510738,-10.451487528852292,-9.692060962040557,-5.993722949125841,-6.271419674821513,-10.860506592367972,-8.992941355467886,-8.661044502935482,-8.338913648742922,-4.627224721947308,-4.904459165122844,-7.125734973434058,-13.4066505228412,-17.142720347861808,-19.139577434425448,-6.836845949528852,-12.80204273062369,-7.719191967601588,-12.256712906020068,-14.091052966028794,-5.174574042698502,-8.025317702172837,-10.06304120547897,-15.86157177188587,-7.419605365506796,-5.718668912394163,-5.445772791429738,-11.294033218400495,-14.888878627737888,-9.336044583025732,5.954424589054387,1.7215018574055099,1.259778430983105,0.0,0.4671411415183923,2.34115077836745,4.330268248655099,0.0,0.0,0.0,0.657817528149109,0.0,0.0,0.10000042033772351,12.23586472974291,0.2248667205215093,0.0,0.0,19.892082764250485,0.0,0.0,3.1792260645689874,0.0,0.32689196063733045,0.0,0.0,0.9149210756307405,0.1516625599859111,8.356580508957878,0.0,0.0
2023-11-22,2.61.0,-16.002542985194836,-4.7668628987624775,-12.097243332064401,-9.305439949988589,-6.944366302400194,-10.623165943343693,-14.482880284616884,-7.3204311783400495,-5.123710491559995,-10.169749019033553,-6.206229366894206,-4.40306940479257,-9.73114151558742,-23.578706305043205,-8.48646689458637,-20.939824692296096,-8.090557952973619,-19.246764411173025,-5.842740640070991,-13.210682217104626,-16.906992800456752,-6.5732104534673415,-13.822723848629217,-15.203543198709328,-11.583904712497446,-11.093647823464504,-5.482103637396353,-8.89101741429279,-12.63776918803941,-17.961333385483307,-7.702203083018424,0.3669231972583406,0.21360831796987093,2.713675032858693,7.250552831251152,0.0,1.0227360081505112,4.406207112285367,12.40806635937286,0.0,0.0,0.0,0.12149636040744037,0.0,0.0,23.742488119108597,0.0,1.6720420691269464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6177248937172723,0.0,0.0,0.0
2023-11-23,2.61.0,-14.16331180055396,-7.871481851792035,-9.60240241501188,-7.428827374895198,0.7196483211286235,-6.975962906366929,-9.17000160088654,-2.9887000328868116,-3.7286879991809947,-11.405839228513464,-4.9679717563802415,-2.1091044826347916,-11.892724179505462,-17.956537974096474,-0.9818135808451798,-12.403507875194029,-10.483064947287751,-12.945218779341031,-5.512100302295382,-19.93294531363628,-13.527339228492481,-6.023048125861515,-15.69052178981395,-10.937413315627206,-10.039125742583828,-8.73919052626326,-4.379208127319479,-8.307275217962298,-16.674792106251424,-14.87337932010779,-6.508966544550486,0.895865910006093,1.5171047184304174,1.1695523556404273,4.231304099929709,0.0,5.551686986912034,16.051610747108388,2.5264287347310037,0.0,0.0,7.440241705743735,0.0,0.0,0.14110609043388378,0.0,10.395655280037591,1.9595586187193095,0.379842048332262,0.2779667109706979,0.0,0.0,0.0,0.0,3.2611008698929287,0.5115632865215208,0.0,0.6804876075908097,0.20000110294100273,0.0,0.0,0.0
