stationName,catchname,Discharge,Discharge_mmday,quality,date
Engsetvatn,101.1.0,0.8461009,1.8316992673515413,1.0,2023-11-13
Hildreelv,102.1.0,0.17863947916666667,1.0831193684210527,1.0,2023-11-13
Isa v/Morstøl bru,103.20.0,0.13094832916666665,0.25481837027027027,1.0,2023-11-13
Midtre Mardalsvatn,104.22.0,0.18154161818181816,1.1464948330464941,1.0,2023-11-13
Vistdal,104.23.0,0.8062502541666667,1.0473616292286874,1.0,2023-11-13
Driva v/Svoni,109.21.0,1.4879065833333334,0.9455363989408649,1.0,2023-11-13
Driva v/Risefoss,109.9.0,5.076387208333334,0.5879433434764542,1.0,2023-11-13
Nauståa,111.10.0,0.17336977916666665,0.6042415861234369,1.0,2023-11-13
Søya v/Melhus,111.9.0,0.6172632391304348,0.3880633330486034,1.0,2023-11-13
Rinna,112.8.0,0.26668789583333335,0.2623458294432427,1.0,2023-11-13
Myra,114.1.0,0.05526343041666667,0.2900826481166464,1.0,2023-11-13
Garhammerfoss,12.114.0,8.204110416666667,1.4397561391749438,1.0,2023-11-13
Buvatn,12.150.0,NaN,0,2023-11-13
Hølervatn,12.171.0,0.6595491916666667,0.7176958458438286,1.0,2023-11-13
Eggedal,12.178.0,2.7793899166666667,0.7731713474355258,1.0,2023-11-13
Sundbyfoss,12.192.0,3.1636368333333333,3.655720508225224,1.0,2023-11-13
Fiskum,12.193.0,1.3483064999999999,2.260257694994179,1.0,2023-11-13
Vinde-elv,12.207.0,1.912676045454546,0.6123284805368043,1.0,2023-11-13
Hangtjern,12.212.0,0.06790815000000001,0.5324196152450091,1.0,2023-11-13
Storeskar,12.215.0,0.7413108916666666,0.5352156851341188,1.0,2023-11-13
Etna,12.70.0,3.3160106666666667,0.5039370334019312,1.0,2023-11-13
Åmot,121.20.0,2.0358790000000004,0.6222802051862597,1.0,2023-11-13
Gisnås,121.29.0,0.3009510304347827,0.274951560003862,1.0,2023-11-13
Eggafoss,122.11.0,3.9860850833333337,0.5256536389999695,1.0,2023-11-13
Lillebudal bru,122.14.0,1.4891491666666665,0.7653470227827016,1.0,2023-11-13
Hugdal bru,122.17.0,4.387469583333334,0.6943572040883614,1.0,2023-11-13
Kjeldstad i Garbergelva,123.31.0,1.7004464583333334,1.0275463281577843,1.0,2023-11-13
Kobberdammen,123.95.0,0.0039705930000000006,0.3363325835294118,1.0,2023-11-13
Feren,124.13.0,1.5706158181818182,0.6171322328933061,1.0,2023-11-13
Børstad,124.15.0,0.3375619125,0.6023409591078067,1.0,2023-11-13
Høggås bru,124.2.0,2.932701875,0.5124073650151668,1.0,2023-11-13
Veravatn,127.11.0,1.0594029166666667,0.519686663260092,1.0,2023-11-13
Dillfoss,127.13.0,0.8324376749999999,0.14995124493370027,1.0,2023-11-13
Støafoss,128.5.0,4.3228697333333335,0.7828790663201141,1.0,2023-11-12
Store Grønsjø,131.2.0,NaN,0,2023-11-12
Krinsvatn (Kringsvatnet),133.7.0,0.9835621916666667,0.4113052289821402,1.0,2023-11-13
Øyungen,138.1.0,0.9648973608695653,0.34821908850561983,1.0,2023-11-13
Grongstadvatn,139.13.0,3.797169625,0.6956499132757998,1.0,2023-11-13
Moen,139.20.0,0.3886018,0.5241210665001562,1.0,2023-11-13
Skjellbreivatn,139.25.0,3.9400800833333336,0.6235194593109512,1.0,2023-11-13
Embrethølen,139.26.0,1.3108259166666667,0.22915053253480094,1.0,2023-11-13
Trangen,139.35.0,4.3363470416666665,0.43961324071575236,1.0,2023-11-13
Salsvatn,140.2.0,10.9634875,2.1932051863857374,1.0,2023-11-13
Første Aunvatn,142.1.0,0.19338108260869563,0.1914093886744335,1.0,2023-11-13
Mevatnet,148.2.0,0.6741360291666666,0.536972000737531,1.0,2023-11-13
Møllehusfoss,149.1.0,0.6234344541666667,0.5662819264087467,1.0,2023-11-13
Jondalselv,15.21.0,1.9405195,1.3215171813667534,1.0,2023-11-13
Halledalsvatn,15.49.0,NaN,0,2023-11-13
Sørra,150.1.0,0.0958407675,1.258456278419453,1.0,2023-11-13
Lavvatn,151.11.0,0.2395296,0.2807292110689094,1.0,2023-11-13
Nervoll,151.15.0,5.492677291666666,0.7263489010652625,1.0,2023-11-13
Fustvatn,152.4.0,1.6616215833333332,0.27309651087142606,1.0,2023-11-13
Storvatn,153.1.0,0.24741115416666667,0.4453400775,1.0,2023-11-13
